title,series,remakes,year,mpaa,runtime,language,director,firstCredit,secondCredit,imdbRating,rtRating,metaRating,action,adventure,animation,biography,comedy,crime,documentary,drama,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,western
The Fast and the Furious,Fast and Furious,NA,2001,PG-13,106,English,Rob Cohen,Vin Diesel,Paul Walker,0.68,0.53,0.58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2 Fast 2 Furious,Fast and Furious,NA,2003,PG-13,107,English,John Singleton,Paul Walker,Tyrese Gibson,0.59,0.36,0.38,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Fast and the Furious: Tokyo Drift,Fast and Furious,NA,2006,PG-13,104,English,Justin Lin,Lucas Black,Sung Kang,0.6,0.37,0.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Fast and Furious,Fast and Furious,NA,2009,PG-13,107,English,Justin Lin,Vin Diesel,Paul Walker,0.66,0.29,0.46,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Fast Five,Fast and Furious,NA,2011,PG-13,130,English,Justin Lin,Vin Diesel,Paul Walker,0.73,0.77,0.66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Fast & Furious 6,Fast and Furious,NA,2013,PG-13,130,English,Justin Lin,Vin Diesel,Paul Walker,0.71,0.61,0.71,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Fate of the Furious,Fast and Furious,NA,2017,PG-13,136,English,F. Gary Gray,Vin Diesel,Jason Statham,0.67,0.67,0.56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BlacKkKlansman,NA,NA,2018,R,135,English,Spike Lee,John David Washington,Adam Driver,0.75,0.96,0.83,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Green Book,NA,NA,2018,PG-13,130,English,Peter Farrelly,Viggo Mortensen,Mahershala Ali,0.82,0.77,0.69,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fargo,NA,NA,1996,R,98,English,The Coen Brothers,Frances McDormand,William H. Macy,0.81,0.94,0.85,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
The Big Lebowski,NA,NA,1998,R,117,English,The Coen Brothers,Jeff Bridges,John Goodman,0.81,0.83,0.71,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True Grit,NA,True Grit,2010,PG-13,110,English,The Coen Brothers,Jeff Bridges,Matt Damon,0.76,0.96,0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"O Brother, Where Art Thou?",NA,NA,2000,PG-13,107,English,The Coen Brothers,George Clooney,John Turturro,0.77,0.77,0.69,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton Fink,NA,NA,1991,R,116,English,The Coen Brothers,John Turturro,John Goodman,0.77,0.9,0.69,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
True Grit,NA,True Grit,1969,G,128,English,Henry Hathaway,John Wayne,Glen Campbell,0.74,0.89,0.83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Aladdin,NA,Aladdin,1992,G,90,English,Ron Clements,Scott Weinger,Robin Williams,0.8,0.95,0.86,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
